crse_id,"subject","catalog_nbr","course_title_long","descrlong",units_minimum,units_maximum,crse_offer_nbr,term
705,"ED"," 699","Independent Study","Student and faculty member select advanced topic of study and number of credits. (Offered only as interest warrants.)",1,6,1,2164
2644,"PH"," 320","Intro to Community Health","Introduces the principles and practices of community health including multicultural definitions of health and illness, health education and health promotion, demography, epidemiology, environmental health, nutrition, and the health of diverse populations throughout the lifespan. Emphasizes methods of assessing the health status of populations and developing community health programs.

(Prereq: GE Area A1)",4,4,1,2164
5181,"EMAT"," 706","CCSS in Math 6-8","",3,3,1,2164
664,"ED"," 609","Math Methods","Introduces multiple subject students to theory and practice for teaching mathematics in elementary classrooms, grades K-8.  Helps students further their understanding of the mathematics they will be teaching as well as how to teach it. Includes both coursework and fieldwork weekly. (Offered fall semester and as interest warrants.)",3,3,1,2164
2491,"MPA"," 110","Keyboard I","Piano instruction includes techniques, repertoire and keyboard harmony. (Offered fall semester)",1,1,1,2164
2500,"MPA"," 197","Independent Study","Student and faculty member select topic of study and number of credits. (Offered as interest warrants.)",1,6,1,2164
1127,"MSCI"," 470","Science Policy and Management in the Marine Environment","This course draws from multiple disciplines to address first hand issues of science and science policy management integration in the marine environment.

(Prereq: BIO 340 and BIO 345 and MSCI 300)",4,4,1,2164
4296,"IST"," 665","Tech for Language Learning","Technology for Language Learning :  Investigate technology used for language teaching and learning.  Experiment and evaluate different types of authoring, delivery, practice and assessment tools in language acquisition.  Hands-on projects and case studies are included.
Level: Graduate  (Elective)",4,4,1,2164
2848,"SBS"," 384S","Anthropology of Education: Cultural Contexts of Bilingual Education","Introduces the study of schooling in California making emphasis in the perspective of minority groups and explores the concept of transnational cultural experiences. Explores the cultural similarities and differences within such immigrant groups and compares the learning experiences of U.S. and Mexican teachers and their students.

(Prereq: Junior or Senior Standing)",6,6,1,2164
4572,"KIN"," 330","Physical Activity and Health","Provides students an integrated view of the relationship between physical activity or sedentarism and health outcomes; also, it provides a conceptual framework to help the students relate results from single studies or collections of studies to the overall paradigm linking physical activity and physical fitness to health.  The class will focus on the prevention of diseases and the enhancement of quality of life and well-being.",3,3,1,2164
2532,"MPA"," 308","Analogue Mixing and Digital Editing","Analogue Mixing and Digital Editing:  This course builds on the knowledge acquired in through MPA 306 and 307.  Students will study advanced analogue mixing on the MTA 980.  Analogue signal routing, inserts, auxiliary sends, equalization, sub-mixing and signal processing principles will be combined with advanced digital production and editing within Pro Tools.   (Offered fall semester.)

[Prereq: (MPA 306 and MPA 307) and Instructor Consent]",4,4,1,2164
4976,"BUS"," 568","Business Intelligence and Analytics","An executive leadership perspective to business intelligence & analytics (BI&A) that provides insights for evaluation, strategic alignment, planning & investment in BI&A resources & people; addresses the governance of  processes for BI&A deployments in business & government. The course reinforces the role of analytics for sound ethical decision-making strategies for creating a culture of evidence-based organization performance and innovation. (Offered as class-based, hybrid, or online.)

Restricted to Senior and Graduate Level Standing Only",4,4,2,2164
2170,"LS"," 398S","Social Foundations of Multicultural Education SL","Students examine issues, problems, and solutions to equitable schooling in a pluralistic society, while exploring schools as social institutions that transform the cultural and political dynamics of society. The course focuses on history, politics, and theories of education for culturally and linguistically diverse populations. Requires completion of approved service learning hours and community projects (30 hours). (May be offered as a classroom-based, hybrid or online.)

[Prereq: LS 277S and (Junior or Senior Standing) and (Coreq: LS 398)]",2,2,1,2164
4622,"MATH"," 376","Partial Differential Equations","Derivation of partial differential equations; separation of variables; equilibrium solutions and Laplace's equation; Fourier series; method of characteristics for the one dimensional wave equation. Solutions of non-homogeneous equations.  (Credit/ No Credit Available)

(Prereq: MATH 265)",4,4,1,2164
2452,"MLML"," 602","Mar Instrum Analysis","MLML 202:Mar Instrum Analysis- Principles of instruments used in oceanographic research, introduction to electronics, and applications of instrument measurements. Emphasis varies from CTD profilers, current meters, radiometry, and chemical measurement. Offered through Moss Landing Marine Laboratories (MLML); contact SEP program office for MLML registration procedures. (Offered every other spring semester.)",4,4,1,2164
5311,"HOSP"," 482","Sustainable Hotel Economics  & Resort Operations","Offers  a complete  approach   to  the  operation  of  hotel  and  resort  properties.  Focuses  on sustainable  and  responsible  initiatives,  technological  change,  and  unique  operational challenges. Reviews history and conceptual development  of hotels and resorts and future considerations  and outlook  for the industry in issues such as the hiring and management  of seasonal  employees  and  the  development  of  sustainable  opportunities.  (Sections  may  be offered as classroom-based, hybrid or online courses.)

[Prereq: ENVS 201 and (BUS 311 or BUS 312)]",4,4,1,2164
3704,"VPA"," 196","Field Studies","Field Studies opportunities. Topics of study, as well as number of credits, arranged between student and faculty member. (Offered only as interest warrants.)",1,4,1,2164
1382,"HCOM"," 266","Histories of Democracy","The course explores the changing meaning of democracy and freedom from a multicultural perspective. It covers major events between the Colonial and Civil Rights eras, with a focus on the 1860s-1960s. The origins, key developments, and philosophies of the US and California Constitutions are studied as well as the role of social movements in struggles for social justice. Students also organize a political project that enables them to directly participate in the democratic process.

(Prereq: GE Area A1)",4,4,1,2164
517,"CST"," 334","Operating Systems","Students in this course will learn about the use and design of modern operating systems, focusing on Linux. On the \"use\" side, students will learn the Linux command line, to write shell scripts, and to build programs with GNU utilities like awk, sed, and make.  On the \"design\" side, students will develop a deep understanding of process management, memory management, file systems, and concurrency, and how they apply to modern technologies like virtualization and cloud computing.

(Prereq: CST 238)",4,4,1,2164
5277,"SW"," 561","Leadership & Administration","This graduate elective covers the theories and models of administration, cross-system collaboration, ethical leadership as they apply to supervisory and management roles in human services. It explores the role of community stakeholders as advocates of social policy initiatives and collaborative policy activities. Students assume advocacy and leadership roles with community stakeholders. May be offered as classroom based, hybrid or online course.  (Credit/ No Credit Available)

(Prereq: SW 540)",3,3,1,2164
2553,"MPA"," 342","Score Reading","Addresses problems in score reading and increases large-score reading (orchestral, chamber, concert scores) skills for singers and other musicians. (Offered as interest warrants.)",2,2,1,2164
4828,"RSCH"," 295","Special Topics","(Credit/No Credit Available)",1,6,1,2164
3382,"SL"," 492S","Participatory Action Research Service Learning","Students work on research projects that are responsive to community needs in collaboration with community organizations. Requires 3-5 hours of community service each week. (Offered when interest warrants.)  

[Prereq: (Junior or Senior Standing)]",4,4,1,2164
1218,"GEOL"," 210","Introduction to Earth Science","Focuses on earth science content and scientific investigation and experimentation abilities required for the multiple-subject teaching credential.  Topics include Earth's atmosphere and water, structure and composition of the solid Earth, processes that change the Earth (with emphasis on plate tectonics and California geology), Earth's resources, and Earth's place in the solar system and universe. (Offered fall and spring semesters.)

(Prereq: MATH 99 or ELMT Score of 50 or Higher)",3,3,1,2164
2455,"MLML"," 608","Scientific Methods","MLML 208: Scientific Methods-  Information and skills for graduate students beginning their research careers, such as the philosophy of science, scientific writing, design of experiments and sampling programs, and using library and other resources. Offered through Moss Landing Marine Laboratories (MLML); contact SEP program office for MLML registration procedures.",4,4,1,2164
2504,"MPA"," 204","Hist Surv:Art/Cultr/Value","",4,4,1,2164
1931,"JAPN"," 204","Intermed Japanese Read II","This course focuses on reading and writing in Japanese and is a companion course for JAPN201 and 202. (Offered in spring)",2,2,1,2164
2016,"KIN"," 340","Personal Training","Provides a theoretical overview of the scientific and practical knowledge, skills, and abilities necessary to be a competent personal trainer. Includes content necessary for nationally recognized certification exams administered by organizations such as the National Strength and Conditioning Association and the American College of Sports Medicine. (Offered as needed).",3,3,1,2164
2617,"MPA"," 497","Independent Study","Student and faculty member select topic of study and number of credits. May be repeated for credit when topics vary. (Offered as interest warrants.)",1,6,1,2164
641,"ED"," 550","Health Education","Focuses on health topics as they relate to teaching and learning environments (preschool to adult). Identifies current issues and problems of individual, family, and community health concerns in the social and school context. Explores theories, organization, methods, and materials for the understanding and the teaching of health education. Fulfills the Ca health education requirement for the clear credential. The state CPR requirement is not part of this course. (Offered as interest warrants.)",2,2,1,2164
5416,"SOC"," 365","Technology and Society","This course offers a broad introduction to the social dimensions of emerging information and communication technologies.  An emphasis is placed on the specific historical and cultural contexts that shape practices of technology. Attention is given to the diverse ways technology shapes social life, including culture, economy, education, and military. It also examines how social structures of gender, race, class, sexuality, and nation are reproduced or reconfigured by technology.  (Credit/No Credit Available)

(Prereq: SOC 100 and STAT 100)",4,4,1,2164
1953,"JAPN"," 397","Independent Study","Individual study of a particular aspect of Japanese language, culture, or civilization.  A written proposal for the study/research must be approved in advance by the sponsoring faculty member and the program coordinator. Number of credits depends on the nature of the student's academic goals and the consent of the faculty advisor.",1,6,1,2164
2246,"MATH"," 170","Discrete Mathematics","Includes sets and sequences, elementary logic, relations, induction, counting principles, discrete probability, Boolean algebra, logic networks, matrices, graph theory, and trees. Applies these topics to real life and branches of science, particularly computer science. (Offered every semester)

(Prereq: MATH 130)",4,4,1,2164
5413,"SOC"," 333","Sociology of Deviance","This course examines the ways in which societies define deviance and their attitudes and beliefs.  It employs a critical sociological approach to explore conformity/non-conformity and the relationship between individual liberty and social control. It also analyzes social reactions and outcomes of these definitions. Topics may include sexuality, suicide, prostitution, drug addiction, crime, and gender. (Credit/No Credit Available)

(Prereq: SOC 100)",4,4,1,2164
497,"CST"," 304L","Publication Design Lab","Lab portion of CST 304. ",1,4,1,2164
943,"ENVS"," 195","Special Topics","Studies a particular topic in Environmental Science Technology & Policy. May be repeated for credit when topics vary. (Offered only as interest warrants.)  (Credit/ No Credit Available)",1,6,1,2164
2637,"MPP"," 696A","Prof Policy Internship Seminar","Provides students with the opportunity to continue developing knowledge and skills in their graduate internship as they complete work on their master's projects. The internship provides each student with the opportunity to participate as a working member of the staff in the daily policy-related activities of a local, state, federal, or international public agency, or a nongovernmental organization. (Offered every semester.)",3,3,1,2164
2640,"MPP"," 697","Independent Study","Student and faculty member select advanced topic of study and number of credits. (Offered only as interest warrants.)",1,6,1,2164
2059,"KIN"," 440","Phys & Biomech Anaerobic Exer","Provides an in-depth, integrated understanding of the physiological responses and adaptations to, and the biomechanics of, anaerobic activity, exercise, and sport.  Emphasizes the concept that the physiology of anaerobic energy production and the biomechanics of anaerobic energy use are linked in physical activity, exercise, and sport. (Offered as needed).",3,3,1,2164
5306,"HOSP"," 300","Issues & Ethics in Sustainable Hospitality Mgmt","Develops  writing, oral and critical analysis skills needed to link sustainability to ethics in hospitality  management.  Covers  current  issues  that  involve  hospitality  management,  ethics and society. Students develop a learning plan that integrates their Sustainable Hospitality Management  concentration, capstone  and internship  interests, and personal  and professional goals. (Sections may be offered as classroom-based, hybrid or online courses.)

[Prereq: (BUS 201 and BUS 203) and (GE Area A1 and A2 and A3)]",2,2,1,2164
583,"CST"," 482L","Study@Sea Lab(Aboard ship)","",2,2,1,2164
249,"BUS"," 483","Audit II Operational Auditing","Technical, ethical, and policy aspects of operational auditing. Effectiveness of audits in the for-profit and not-for-profit sectors. Issues in operational auditing and case studies of how those issues have been addressed. (Offered only as interest warrants; sections may be offered as classroom-based, hybrid, or online courses.)

[Prereq: BUS 482 and (Junior or Senior Standing)]",4,4,1,2164
1899,"IST"," 522","Instructional Design","Instructional Design:  Investigate, and apply instructional design models. Students engage in front-end analysis in order to identify and define an existing problem in an instructional or training environment resulting in an instructional design document. Involves problem identification and definition, content organization and development, implementation strategy and evaluation framework.",4,4,1,2164
4609,"MIT"," 651","Venture Formation and Financial Strategy","Examines venture formation and growth following completion of a high-tech business plan. Focuses on ongoing marketing, decision making, accounting and financial management, and human resource management issues. Students examine start-up and growth management issues faced by real-life technology-focused ventures, and meet with entrepreneurs, small business lawyers and accountants, and investors. Students also receive guidance on approaching potential sources of capital.",4,4,1,2164
4614,"ENSTU"," 212S","Ethics, Equity & Environmental  SL","Uses ethical theory and service-learning to examine and analyze personal behavior, local community action, and public policy in the context of social, environmental, and economic sustainability.  Develops reading, writing, critical thinking, speaking, and listening skills.

(Prereq:  GE Area A1)",6,6,1,2164
5019,"KIN"," 305","Technique in Strength & Conditioning","Students learn appropriate technique in strength and conditioning as it relates to basic performance, assessment, and program development.  Focus includes content necessary for nationally recognized certification exams administered by organizations such as the National Strength and Conditioning Association (NSCA) and the American College of Sports Medicine (ACSM).",3,3,1,2164
1925,"JAPN"," 197","Independent Study","Allows lower-division students to independently study a particular aspect of Japanese culture and language.  A written proposal for the study/research must be approved in advance by the sponsoring faculty member and the program chair. Number of credits depends on the nature of the student's academic goals and the consent of the faculty advisor.",1,6,1,2164
5423,"MPA"," 364","Music of Mexico","Music of Mexico explores a variety of musical styles that have emerged from the pre-Hispanic era to the present. From the indigenous influences on music throughout the Americas, to the musical styles brought by European and African immigrants, this course explores the geographic and political contexts reflected in Mexican music as a cultural icon.  (Credit/No Credit Available)",4,4,1,2164
3495,"STAT"," 250","Applied Stat:Sci Tech","Provides the models and methods used in a career in technology, engineering, and natural and biological sciences. Emphasizes the use of tables, graphs, and elementary descriptive statistical applications. Introduces statistical inferences through parameter estimation and regression modeling. Introduces students to the basic skills for using computers in statistical analyses. (Offered fall and spring semesters.)

(Prereq: MATH 150)",4,4,1,2164
2261,"MATH"," 308","Elementary Math - Adv Viewpt A","The first of a two-course sequence intended for future elementary teachers. Students develop an in-depth understanding of key concepts in K-8 mathematics and of students' learning of K-8 mathematics concepts. (Offered fall and spring semesters.)

(Prereq: MATH 100)",3,3,1,2164
5288,"GS"," 342","Economic Thought: History and Contemporary Interpretations","Explores political economy from historical, critical, global, and feminist perspectives. Students analyze relationships among economic systems and institutions, as well as cultural, political and social institutions, and a wide array of ideologies. Issues addressed include global economic crises, labor activism, labor migration, government, global civil society, poverty and inequality, imperialism and war, and cultural transformations.  

(Junior or Senior Standing)",2,4,1,2164
1375,"HCOM"," 247","African Legacy Worldwide","(Formerly titled Intr. African Diaspora Studies) Examines how historical, cultural, and social processes have influenced the development of African diaspora communities in the United States, Latin America, the Caribbean, Europe, and Asia. Special attention will be given to the impact of race and culture on the formation of diasporic communities. (Offered every year.)

(Prereq: GE Area A1)",4,4,1,2164
5028,"MSCI"," 437","Ocean Instrumentation Projects","This is a project-based course requiring previous experience with electronics and microcontroller programming. Students work in groups to evaluate and improve the performance of subsea sensors, ROVs, or other instrumentation used to collect data for applied marine science research. Grading is based primarily on written reports. Course project may be used as a course-based capstone project.

(Prereq: PHYS 330 or Instructor Consent)",4,4,1,2164
1206,"ENVS"," 660","Adv Watershed Sci & Policy","Addresses current watershed environmental issues using advanced research methods and sound science. Considers issues from multiple perspectives, including legal, political, diverse stakeholders, and natural science.  Students present project results in both written and oral formats, utilizing innovative visualizations, as necessary, to communicate technical science to decision-makers or non-specialists. (Offered fall semester.)",4,4,1,2164
3720,"VPA"," 305","Media Culture","Students develop skills of media analysis. Emphasis placed on the analysis of media representations and ethical approaches to socio-media. Forms of media include digital advertising, Internet, music videos, and popular culture materials influencing perception and identity. Provides theoretical approaches to a hands-on model of analysis and media intervention.",4,4,1,2164
683,"ED"," 629","Secon Method Ling Cultural","Examines the philosophical assumptions of models for bilingual instruction and their effectiveness with students of diverse backgrounds. Students develop and teach lesson plans for primary language development and ELD instruction, using SDAIE strategies. Taught in Spanish for those electing BCLAD. (Offered only as interest warrants.)",3,3,1,2164
4593,"CST"," 154","Ultra Otter D: The Technology-Aided Job Search","Intended for students preparing for job searches. Introduces various platforms for creating digital application materials and discusses successful strategies. Students will create a digital application packet suitable for submission to hiring entities. Digital identity and social networking will be discussed, both as methods for locating opportunities and as potential hindrances. Through hands-on activities, students will learn how to present their best digital self when entering the job market.  (Letter Grade Available)",1,1,1,2164
2706,"PSY"," 341","Psych of Thought & Language","Explores the dynamic interface between psychological thought and language throughout development. Focuses on early expression and understanding of meaning in infants and young children and on analysis of everyday conversations and activities of children as a window on developing understandings of the world.

(Prereq: PSY 100 and STAT 100 and PSY 200 and PSY 200L)",3,3,1,2164
215,"BUS"," 323","Service Marketing","Focuses on marketing as applied to service businesses. Topics include marketing a service vs. a manufactured product; marketing (planning, pricing, research, segmentation); customer loyalty; distribution channels; & advertising. Students identify a service industry, develop a marketing plan including situational & SWOT analyses, & action plans with success measures from a legal & ethical perspective. (Offered as interest warrants; sections may be offered as classroom-based, hybrid or online.)

[Prereq: BUS 306 and (Junior or Senior Standing)]",4,4,1,2164
3432,"SPAN"," 306","Cultur/Civ Span Ltn Amer","Taught in Spanish, presents an historical and cultural overview of Hispanic Latin America from its pre-Columbian origins to the present through works of literature, art, music, and videos. Taught in Spanish. (Offered every fourth semester.)

(Prereq: SPAN 202 and SPAN 213)",4,4,1,2164
4602,"MIT"," 525","Global Marketing for Information Technology","Focuses on marketing of information technology services and products with a global perspective. Examines the global marketing imperative, global marketing environment, the differences and similarities in societies and cultures with regard to the legal and ethical implications of marketing strategies, developing global readiness, and global marketing.",4,4,1,2164
3429,"SPAN"," 303","Adv Spanish Grammar","Reviews all phases of communication skills with practice in understanding, speaking, and writing grammatically correct Spanish. Teaches specific components of Spanish grammar: the Spanish verbal system, the subjunctive, ser versus estar, and other problematic aspects of grammar. For students planning to teach Spanish. (Offered every fourth semester.)",4,4,1,2164
1994,"KIN"," 238","Awaken Healing Energy","The study of Channeling Energy and Self-Empowerment. Teaches eastern theory and practice for cultivating energy or \"Chi\". Course addresses Qigong meditation practices. Credit/No Credit. (Offered as interest warrants.)",1,1,1,2164
3617,"CART"," 490","Research and Development","Students practice research skills, engage in creative writing, and develop marketing and pitching proposals. The major outcome is a pre-production portfolio. 

[Prereq: GE Area A4 and (CART 315 or CART 340) and CART 361 and (CART 339 or CART 341 or CART 376 or CART 422)]",4,4,1,2164
533,"CST"," 363","Introduction to Database Systems","This course provides balanced coverage of database use and design,focusing on relational databases.  Students will learn to design relational schemas, write SQL queries, access a DB programmatically,and perform database administration.  Students will gain a working knowledge of the algorithms and data structures used in query evaluation and transaction processing.  Students will also learn to apply newer database technologies such as XML, NoSQL, and Hadoop.

(Prereq: CST 231 or CST 221)",4,4,1,2164
5445,"BUS"," 604","Micro Economics","The primary goal is to explain and forecast the behavior of consumers and firms under various economic parameters and constraints.  Topics include: supply and demand; individual and market demand; consumer behavior, production, cost functions, and competitive and monopolistic markets and strategies. 

(Restricted to MBA Majors Only)",3,3,2,2164
1435,"HCOM"," 333","Women's Writing Workshop","An intermediate level creative writing workshop that examines women's lives, and their relationship to the writing process. Includes in-class writing exercises, cross-cultural readings, discussions of the writing process, and creative writing. For women and men honing their craft of writing poetry, fiction, life-stories. Offers built-in assessment in HCOM MLO 8 (only with prior consent of instructor) or the concentrations in Creative Writing and Social Action, or Women's Studies. (Offered every other year.)

[Prereq: (GE Area A1 and A2 and A3) and (HCOM 330 or HCOM 330S or HCOM 331 or HCOM 339S)]",4,4,1,2164
2547,"MPA"," 336","Jazz History","An overview of jazz development from its roots in African music and American spirituals to the funeral bands of New Orleans - with an examination of the work and stylistic contributions of the great jazz originators - from King Oliver to Charlie Parker, John Coltrane, and Miles Davis. Emphasis on the social, cultural, and economic circumstances that influenced the art form called jazz. (Offered as interest warrants.)",4,4,1,2164
615,"CST"," 696","Graduate Directed Study","Provides a framework for a substantial research and development effort: ideation, proposal writing, project management, presentation, documentation, and/or evaluation. Provides one-on-one guidance on students' research and development efforts within the School of Information Technology and Communications Design disciplines. All students, including non-majors, working on their Capstone project with faculty members in ITCD must register for CST 696.",1,4,1,2164
3400,"SPAN"," 101","Beginning Spanish I","An introduction to the Spanish language and Hispanic cultures, with emphasis on the development of the basic  communicative skills (speaking, listening, reading, writing) and grammatical structures. Requires active participation in instructor-coordinated multimedia and online activities as a mandatory component. (Offered every semester).",4,4,1,2164
2715,"PSY"," 360","Industrial/Organizational PSY","Application of psychological theory, research and methodology to the work environment. Topics covered include leadership, power, group processes, motivation, satisfaction and issues in personnel psychology.

(Prereq: PSY 100 and STAT 100 and PSY 200 and PSY 200L)",3,3,1,2164
1179,"ENVS"," 561L","Watershed Systems Restor Lab","Required lab course for ENVS 561.",1,1,1,2164
3539,"CART"," 255","The Actor's Process","Introduction to the creative process of the actor, and the elements of dramatic expression which develop a  role for performance on film.",4,4,1,2164
4584,"CST"," 111","Digital Otter A: Technology Fundamentals","Covers how to use hardware, software, and Internet resources to create, manipulate, archive and find digital artifacts. Techniques to choose the correct technology for a task will be taught with a focus on applied problem solving. Students who complete this course will become confident, responsible users and evaluators of technology and will be able to efficiently apply technology to the communication and critical problem solving tasks required at college and in the work force.  (Letter Grade Available)",1,1,1,2164
89,"ASL"," 301","Adv American Sign I","Taught in American Sign Language (ASL) for extensive study in developing visual comprehension, signing, writing with gloss system, and using expressive and receptive skills. Enhances understanding of deaf communities and deaf culture. (Offered only as interest warrants.)

(Prereq: ASL 202)",4,4,1,2164
1105,"MSCI"," 433","Seafloor Mapping","Project-based course applies advanced technologies for data acquisition, analysis, and display to current marine research initiatives and environmental issues. Hands-on application of sidescan and multibeam sonar, geographic information systems (GIS), quantitative video habitat mapping, computer modeling, remote sensing, image processing, hydrographic mapping, and Global Positioning System (GPS). (There may be a course fee associated with this course)

[Prereq: ENVS 332 and (PHYS 121 or PHYS 150 or PHYS 220)]",4,4,1,2164
4561,"CHHS"," 125","Writing as Healing","Introduces students to writing as a way of healing within the context of an integrated reading, writing, and speaking course. This course will explore the historical traditions of writing as healing as well as current practices of writing to heal with diverse populations.

(Prereq:  WRT 95 or EPT4 with Score of 147 or Higher)",4,4,1,2164
4443,"SPAN"," 330","Hispanic Testimonials","A Bilingual English/Spanish Course on individual and collective memoirs, diaries, confessions and traveling accounts.  Students read and analyze written texts and films, keep journals, and do life writing or multimedia production in either Spanish or English.  (Offered every fourth semester)",4,4,1,2164
2855,"SBS"," 395L","Special Topics Lab","Student and faculty member select upper-division topics of study and total number of credit hours.  (Credit/ No Credit Available)",1,2,1,2164
3603,"CART"," 399S","Community-Based Media","Working with community-based organizations, students will participate in service activities or projects with external communities and integrate the service experience with specific outcomes, written reflections, discussion, and evaluation.

(Prereq: Junior or Senior Standing)",4,4,1,2164
2839,"SBS"," 369","Ed for Leadership/Public Servi","Student leaders from each of the 23 California State University campuses examine politics and public service life in politics. Explores theories and strategies to attract thoughtful men and women to lives of public service in politics, to inspire them to a high standard of conduct, and to equip them with the practical skills of self-government. Formerly known as SBSC 369.",4,4,1,2164
4633,"GS"," 332","Religion in a Post Secular World","We now live in a \"post-secular\" world.  We will cover the nature and debates of the \"post secular\" -  what it means and how we arrived here.  This course will cover the politics of pluralism, differing church-state relations and religious debates on rights - of nature, sexuality, life, practice, sovereignty, and economic well-being.  (Credit/ No Credit Available)",4,4,1,2164
3424,"SPAN"," 297","Independent Study","Student and faculty member select topic of study and number of credits. (Offered as interest warrants.)",1,6,1,2164
2251,"MATH"," 260","Linear Algebra","Introduces matrices and systems of linear equations and covers topics such as determinants, vectors in two and three dimensions, vector spaces, linear transformations, and eigenvector eigenvalue decompositions. Emphasizes applications to real-world issues. Students use computing technology for the course. (Offered when enrollment warrants.)

(Prereq: MATH 130)",4,4,1,2164
2187,"MAE"," 636","Culture, Cognition, and Development","Explores the relationships between culture, child development, cognition, and experiential learning. More specifically, participants examine the learning process through the perspective of culturally different communities and families and apply theoretical principles of psychosocioemotional development to their teaching. Students also develop expertise in constructing and using culturally congruent instructional strategies. Contributes toward English Learner Authorization certification. (Offered fall or spring semester as needed.)",3,3,1,2164
672,"ED"," 617","Lang/Literacy Curriculum II","Furthers study of approaches to the development of language and literacy at the elementary school level. Continues analysis of the theoretical foundations of literacy development and the skills and strategies for teaching and assessing reading and writing across the school curriculum. Includes four hours of classroom experience and two hours of fieldwork weekly for the first 10 weeks of an academic semester.  Cross-listed with ED 627. (Offered spring semester and as interest warrants.)

(Prereq: ED 616)",3,3,1,2164
4611,"MIT"," 663","Electronic Commerce: Design and Management","Provides both the strategic and technical essentials of designing, developing, and managing an e-Commerce initiative. The course starts with a survey of the landscape of e-Commerce technologies and how businesses employ them to gain competitive advantages. Students then gain hands-on experience using hardware and system software, and learn various technology and design issues by building a fully functional prototype of an e-Commerce site.",4,4,1,2164
3519,"CART"," 204","Pre-Prod Planning Process","Seminar class outlines planning process, roles, tasks, timelines, budgets, and deliverables. (Offered fall semester.)",1,1,1,2164
1181,"ENVS"," 586","Coastal Zone Policy & Mangmt","Policy course draws upon student skills of research, writing, analysis, and creative thinking. Offers a multidisciplinary approach to understanding the principles and strategies for managing the coastal zone. Combines the disciplines of policy, economics, planning, geology, biology, ecology, a bit of chemistry, and organizational management. (Offered fall semester.)",3,3,1,2164
689,"ED"," 635","Biliteracy for Span/Eng","",4,4,1,2164
392,"CHIN"," 597","Independent Study","Individual study of a particular aspect of Chinese language, culture, or civilization. A written proposal for the study/research must be approved in advance by the sponsoring faculty member and the program chair. Number of credits depends on the nature of the student's academic goals and the consent of the faculty advisor.",1,6,1,2164
1451,"HCOM"," 350","Oral Hist/Comm Mem","Students design and conduct oral history projects in surrounding communities. Projects address social issues of significance to the student and the community involved. Interviews are archived in the CSUMB Oral History and Community Memory Archive. Offers built-in assessment in HCOM MLO 2 or, depending on the topic, Chicana/o-Latina/o Studies. Meets the Single Subject in English Waiver Technology requirement.  (Offered every year.)

[Prereq: GE Areas A1 and A2 and A3) and (D2 or D2)]",4,4,1,2164
4398,"ENVS"," 410","Capstone Integration Seminar","Assists students enrolled in a capstone project course in preparing their final written report, poster, and/or oral presentation for their Senior Capstone Project.  Students must enroll concurrently in an approved ESTP Capstone Project Course.

[Prereq: (ENVS 300 or MSCI 300 or ENSTU 300) and (Coreq: ENVS 442 or ENVS 446 or ENVS 475 or BIO 448 or GEOL 460)]",1,1,1,2164
2561,"MPA"," 360","Survey of World Music ONLINE","Introduces non-Western music and arts within global sociocultural context, with an emphasis on indigenous, folk, and classical music as art forms. All work is conducted online except for four class meetings that take place on the first Tuesday of each month. (Offered every semester.)",4,4,1,2164
2434,"MLML"," 504","Quant Mar Science","MLML 104:Quant Mar Science

(Prereq: Exclude Freshman and Sophomore and Junior)",4,4,1,2164
4750,"ENSTU"," 376","Infrastructure Systems:  Past, Present and Future","Course provides a basic overview of the history and present state of each of our utilities and of our building, transportation and agricultural infrastructure.  Practical and ideal future scenarios as well as the integrative relationships between and among different utility systems are examined. Students will learn how our current infrastructure came about and what it would take to make improvements to it in a tractable manner.

[Prereq: (GE Area A1 and A2 and A3 and GE Area B1 and B2 and B3) and (MATH 130 or STAT 100)]",4,4,1,2164
4992,"LS"," 230A","Leadership: Mini-Corps","This course is designed to advance students' tutoring skills in the classroom. It is aimed at helping the tutors to adequately manage small and large groups of students, to learn about the migrant lifestyle, and to build a strong rapport with migrant students and staff. Students must be admitted to the Mini-Corps program prior to enrollment. The class may be repeated for credit.  (Credit/No Credit Available)",1,2,1,2164
5441,"BUS"," 437","Applied Logistics for Produce","Analysis of software-based routing of fleet vehicles, transportation-based applications, fleet vehicle requirements for logistics of a company, inventory management, geographical information systems (GIS) based mapping and visualization of supply chains as applicable to the produce industry. Concepts of spatial statistics will be introduced.  

[Prereq: (BUS 435) and (Junior or Senior Standing)]",4,4,1,2164
388,"CHIN"," 397","Independent Study","Individual study of a particular aspect of Chinese language, culture, or civilization. A written proposal for the study/research must be approved in advance by the sponsoring faculty member and the program chair. Number of credits depends on the nature of the student's academic goals and the consent of the faculty advisor.",1,6,1,2164
1345,"GS"," 403","Directed Reading","Student and faculty member in consultation select topic of study, reading list, and number of credits.",1,4,1,2164
5402,"NURS"," 310","Healthcare Policy and Population Health","Focuses on understanding of nursing politics and the process of health, advocacy, and policy making. Emphasis on analysis of its impact on populations' health and well-being. Presents the larger healthcare system changes and its impact on nursing profession.  (Department of Nursing consent required.) 

[(Prereq: NURS 300 and NURS 301 and NURS 302 and NURS 321) and (Coreq: NURS 306 and NURS 430 and NURS 350)]",3,3,1,2164
4950,"PANM"," 422","Program Development: Planning","This course introduces students to the basic methods of program planning in the health and human services fields and program development in the public and non-profit sectors. Students will critically examine, discuss and apply planning methods and models in a case study format, advance their skills in community needs assessment, and produce a data-driven program plan.  (Credit/ No Credit Available)",2,2,1,2164
